level_id,attempts,users,attempt_win_rate,first_attempt_win_rate,avg_attempt,median_attempt,avg_playtime,revive_rate,avg_unsolved_items,avg_move,failed_attempts,retries_after_fail,retry_after_fail_rate,users_reached,users_reached_next,dropoff_rate,is_priority
425,296,197,0.6655,0.7182,1.72,1.0,207.88,0.4291,3.19,40.4,99,98,0.9899,188.0,187.0,0.0053,False
426,297,198,0.6667,0.7027,1.66,1.0,140.99,0.4512,3.22,35.18,99,99,1.0,187.0,187.0,0.0,False
427,485,198,0.3979,0.4413,2.89,2.0,142.85,0.5629,5.89,28.05,292,286,0.9795,187.0,184.0,0.016,False
428,283,192,0.682,0.6842,1.66,1.0,207.46,0.5512,3.73,45.15,90,90,1.0,184.0,185.0,-0.0054,False
429,563,192,0.341,0.3152,3.2,2.0,115.1,0.5506,6.87,28.49,371,366,0.9865,185.0,183.0,0.0108,False
430,895,191,0.2,0.2865,5.83,4.0,100.38,0.5039,8.0,22.15,716,704,0.9832,183.0,174.0,0.0492,False
431,446,181,0.4058,0.4458,3.16,2.0,179.54,0.6345,6.13,32.39,265,263,0.9925,174.0,174.0,0.0,False
432,227,181,0.7974,0.8466,1.44,1.0,151.84,0.4802,2.0,34.45,46,46,1.0,174.0,173.0,0.0057,False
433,207,178,0.8599,0.8947,1.28,1.0,202.76,0.3333,1.51,43.04,29,29,1.0,173.0,173.0,0.0,False
434,799,181,0.214,0.2109,5.65,4.0,150.85,0.5181,9.82,24.96,628,616,0.9809,173.0,162.0,0.0636,True
435,200,167,0.84,0.858,1.25,1.0,147.45,0.375,1.21,39.43,32,31,0.9688,162.0,161.0,0.0062,False
436,282,165,0.5887,0.6306,1.87,1.0,242.94,0.4929,4.71,39.38,116,114,0.9828,161.0,160.0,0.0062,False
437,316,161,0.5095,0.5033,2.19,2.0,175.2,0.6171,5.7,34.15,155,155,1.0,160.0,161.0,-0.0063,False
438,199,165,0.8291,0.8718,1.45,1.0,143.77,0.3668,1.64,36.95,34,34,1.0,161.0,161.0,0.0,False
439,317,162,0.5047,0.5867,2.36,2.0,160.52,0.5647,5.21,33.91,157,154,0.9809,161.0,158.0,0.0186,False
440,171,161,0.9532,0.9563,1.08,1.0,122.67,0.193,0.4,28.22,8,8,1.0,158.0,158.0,0.0,False
441,180,161,0.9,0.9236,1.18,1.0,124.82,0.5444,0.84,34.93,18,18,1.0,158.0,160.0,-0.0127,False
442,203,160,0.798,0.8442,1.4,1.0,184.37,0.4286,1.79,42.7,41,41,1.0,160.0,157.0,0.0188,False
443,199,161,0.8241,0.8411,1.33,1.0,247.5,0.3869,1.79,38.52,35,35,1.0,157.0,158.0,-0.0064,False
444,404,159,0.3837,0.4626,3.54,2.0,121.87,0.6139,5.34,27.21,249,245,0.9839,158.0,153.0,0.0316,False
445,167,154,0.9222,0.9267,1.11,1.0,170.2,0.2096,0.86,47.48,13,13,1.0,153.0,152.0,0.0065,False
446,297,153,0.5152,0.5556,2.3,2.0,146.8,0.5286,5.29,35.67,144,144,1.0,152.0,154.0,-0.0132,False
447,298,151,0.5067,0.5532,2.18,2.0,155.7,0.5638,5.38,32.13,147,145,0.9864,154.0,151.0,0.0195,False
448,159,149,0.9497,0.9452,1.09,1.0,153.52,0.239,0.61,42.04,8,8,1.0,151.0,151.0,0.0,False
449,463,148,0.3089,0.2538,3.42,3.0,172.23,0.5572,8.3,32.81,320,314,0.9813,151.0,145.0,0.0397,False
450,157,144,0.9299,0.9357,1.12,1.0,188.17,0.3631,0.76,46.35,11,11,1.0,145.0,147.0,-0.0138,False
451,145,144,1.0,1.0,1.0,1.0,73.4,0.0,0.0,16.15,0,0,,147.0,148.0,-0.0068,False
452,173,143,0.8266,0.8201,1.25,1.0,135.02,0.0983,1.41,27.09,30,29,0.9667,148.0,146.0,0.0135,False
453,171,140,0.8246,0.8409,1.31,1.0,148.51,0.2456,1.46,30.71,30,30,1.0,146.0,143.0,0.0205,False
